"Id","Elected","Amount","Label","Size","Color","ElectColor"
"george devolder-santos",FALSE,140200,"George Devolder-Santos",3.27095674720536,"red","grey"
"ben diamond",FALSE,126360,"Ben Diamond",3.23713612048419,"blue","grey"
"mario diaz-balart",FALSE,154800,"Mario Diaz-Balart",3.30352118054395,"red","grey"
"jerry dickinson",FALSE,97925,"Jerry Dickinson",3.15565384640166,"blue","grey"
"matthew diemer",FALSE,42850,"Matthew Diemer",2.90532741804678,"blue","grey"
"debbie dingell",TRUE,146340,"Debbie Dingell",3.2850070433998,"blue","blue"
"delina disanto",FALSE,10387,"Delina DiSanto",2.5214421770908,"blue","grey"
"lloyd doggett",TRUE,93300,"Lloyd Doggett",3.14042310822092,"blue","blue"
"byron donalds",TRUE,158400,"Byron Donalds",3.31112455312739,"red","red"
"kerry donovan",FALSE,37800,"Kerry Donovan",2.86912308607271,"blue","grey"
"rod dorilas",FALSE,68000,"Rod Dorilas",3.04264224791683,"red","grey"
"nathaniel doss",FALSE,3745,"Nathaniel Doss",2.27690642294621,"blue","grey"
"elvin dowling",FALSE,15528,"Elvin Dowling",2.62489268285217,"blue","grey"
"mike doyle",FALSE,51000,"Mike Doyle",2.95635795805014,"blue","grey"
"calvin driggers",FALSE,5000,"Calvin Driggers",2.3436729115921,"red","grey"
"bobby dubose",FALSE,38650,"Bobby DuBose",2.87551044737151,"blue","grey"
"tammy duckworth",TRUE,526111,"Tammy Duckworth",3.73342763842862,"blue","blue"
"angelica duenas",FALSE,18882,"Angelica Duenas",2.67673143566016,"blue","grey"
"jeff duncan",TRUE,119600,"Jeff Duncan",3.21938649548197,"red","red"
"aubrey dunn",FALSE,12250,"Aubrey Dunn",2.56338364372402,"yellow","grey"
"neal dunn",TRUE,106900,"Neal Dunn",3.18344807507562,"red","red"
"tom dunn",FALSE,5000,"Tom Dunn",2.3436729115921,"red","grey"
"harold earls",FALSE,57332,"Harold Earls",2.99116044589963,"red","grey"
"daryl eddings",FALSE,3435,"Daryl Eddings",2.25731763332504,"blue","grey"
"ruth edmonds",FALSE,45150,"Ruth Edmonds",2.92055759687659,"red","grey"
"mike egan",FALSE,28100,"Mike Egan",2.78529136008557,"red","grey"
"jameson ellis",FALSE,13920,"Jameson Ellis",2.59635410439241,"red","grey"
"allen ellison",FALSE,17650,"Allen Ellison",2.65873143854361,"blue","grey"
"jake ellzey",TRUE,201555,"Jake Ellzey",3.3918712409981,"red","red"
"tom emmer",TRUE,245928,"Tom Emmer",3.46003743686669,"red","red"
"kirsten engel",FALSE,152826,"Kirsten Engel",3.29928418012976,"blue","grey"
"ted engquist",FALSE,6275,"Ted Engquist",2.39751522087566,"red","grey"
"veronica escobar",TRUE,113250,"Veronica Escobar",3.20187092921299,"blue","blue"
"anna eshoo",TRUE,248571,"Anna Eshoo",3.46373809374196,"blue","blue"
"adriano espaillat",TRUE,121700,"Adriano Espaillat",3.22499509042443,"blue","blue"
"ron estes",TRUE,138050,"Ron Estes",3.26590570275588,"red","red"
"charles evans",FALSE,23211,"Charles Evans",2.73255797675942,"blue","grey"
"dwight evans",TRUE,138400,"Dwight Evans",3.26673276901543,"blue","blue"
"mike ezell",TRUE,104750,"Mike Ezell",3.17698674714374,"red","red"
"patrick fallon",TRUE,101715,"Patrick Fallon",3.16765956102032,"red","red"
"randy feenstra",TRUE,131155,"Randy Feenstra",3.24921526702164,"red","red"
"anthony feig",FALSE,9300,"Anthony Feig",2.49372348224712,"blue","grey"
"anthony felix",FALSE,4032,"Anthony Felix",2.29378153504588,"blue","grey"
"drew ferguson",TRUE,186000,"Drew Ferguson",3.36473832143683,"red","red"
"francisco fernandez",FALSE,4250,"Francisco Fernandez",2.30589163056599,"blue","grey"
"teresa fernandez",TRUE,130408,"Teresa Fernandez",3.24735989959144,"blue","blue"
"john fetterman",TRUE,695330,"John Fetterman",3.8390087037188,"blue","blue"
"michelle fischbach",TRUE,132300,"Michelle Fischbach",3.25204079114788,"red","red"
"scott fitzgerald",TRUE,89222,"Scott Fitzgerald",3.12641910119504,"red","red"
"brian fitzpatrick",TRUE,174248,"Brian Fitzpatrick",3.34284915935885,"red","red"
"tricia flanagan",FALSE,3650,"Tricia Flanagan",2.27106354695331,"red","grey"
"bryan flannery",FALSE,18000,"Bryan Flannery",2.66395724583289,"blue","grey"
"chuck fleischmann",TRUE,145150,"Chuck Fleischmann",3.28232593282135,"red","red"
"bridget fleming",FALSE,130400,"Bridget Fleming",3.24733997781027,"blue","grey"
"lizzie fletcher",TRUE,202467,"Lizzie Fletcher",3.39340288541564,"blue","blue"
"mayra flores",FALSE,134300,"Mayra Flores",3.25692382603485,"red","grey"
"brian flowers",FALSE,4800,"Brian Flowers",2.33412507266713,"red","grey"
"marcus flowers",FALSE,71968,"Marcus Flowers",3.05994727515978,"blue","grey"
"jeff fortenberry",FALSE,68700,"Jeff Fortenberry",3.04575996439656,"red","grey"
"bill foster",TRUE,267878,"Bill Foster",3.48974508917814,"blue","blue"
"virginia foxx",TRUE,129807,"Virginia Foxx",3.245860204281,"red","red"
"mike france",FALSE,87917,"Mike France",3.12181588411612,"red","grey"
"lois frankel",TRUE,160400,"Lois Frankel",3.31528170012743,"blue","blue"
"scott franklin",TRUE,111450,"Scott Franklin",3.19674509354319,"red","red"
"dan franzese",FALSE,41800,"Dan Franzese",2.89812843627319,"red","grey"
"randy friese",FALSE,41385,"Randy Friese",2.89523817133437,"blue","grey"
"russ fulcher",TRUE,106600,"Russ Fulcher",3.18255355435749,"red","red"
"matt fyfe",FALSE,29472,"Matt Fyfe",2.79860084452253,"blue","grey"
